Indicator Name,Indicator Code,Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Iran, Islamic Rep.",IRN,50.74138409,50.70688971,50.67339708,50.64690948,50.66510117,50.72019974,50.76897272,50.80321978,50.8167834,50.81726149,50.81619024,50.81485085,50.80144968,50.77589494,50.75055321,50.71937465,50.68384246,50.65722875,50.63595706,50.61339168,50.58922278,50.56110255,50.52895228,50.49610861,50.46652191
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Iraq,IRQ,49.68790634,49.72137969,49.75280291,49.78283087,49.79871123,49.79642806,49.78608078,49.76350782,49.7314476,49.71603321,49.72875997,49.75454084,49.78469217,49.81892366,49.8528175,49.88683544,49.92414947,49.94784348,49.96015513,49.9850212,50.01670455,50.04484575,50.07032041,50.09508469,50.1191485
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Iceland,ISL,50.05871208,50.05187201,50.05644409,50.0326618,50.02363691,50.07952497,50.27152231,50.65346795,50.94419486,50.87200793,50.54861982,50.29670188,50.21093478,50.16901417,50.15214922,50.16847554,50.24436658,50.42377299,50.75924245,51.09138508,51.27531363,51.29640084,51.25683503,51.25623828,51.25626802
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Israel,ISR,49.26128879,49.28094978,49.29812237,49.3160516,49.33628664,49.35704836,49.37988932,49.40381966,49.42509375,49.44325567,49.45951243,49.48676015,49.5259559,49.56512725,49.60439651,49.64303726,49.67928681,49.71674869,49.75205364,49.78115607,49.80971591,49.83451307,49.85530995,49.87765964,49.90234911
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Italy,ITA,48.39128649,48.38294934,48.37955327,48.38568619,48.40444631,48.43093825,48.44952591,48.45177306,48.44289276,48.43159796,48.42059498,48.40346559,48.39316168,48.41040672,48.44027531,48.46278913,48.49644146,48.54814712,48.61007507,48.6727811,48.70461278,48.71871247,48.73919083,48.76373098,48.79307491
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Jamaica,JAM,49.48936378,49.51383984,49.53380526,49.5479948,49.55619086,49.558525,49.55688804,49.55570593,49.55818128,49.56573662,49.57491567,49.58154955,49.58788043,49.60107862,49.62156467,49.64243684,49.65665812,49.66038046,49.65634943,49.64779228,49.636449,49.62594436,49.6146508,49.60000028,49.58340766
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Jordan,JOR,52.03100525,51.91907953,51.81759375,51.7292474,51.65755301,51.61046073,51.57836512,51.54367968,51.5111632,51.48049721,51.45086058,51.42251233,51.39533445,51.36961143,51.57868663,51.94754555,52.0811026,52.04245887,52.0041788,51.96599574,51.92793356,51.88873428,51.84795356,51.80739737,51.76815807
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Japan,JPN,49.00623217,48.97921917,48.9518602,48.92389068,48.89472392,48.86496406,48.8351444,48.80744515,48.7832478,48.76077387,48.73976016,48.72160806,48.70696354,48.6950396,48.68461219,48.67478289,48.66558424,48.65615586,48.64462301,48.63172932,48.61901237,48.61010114,48.60471495,48.59946648,48.59399218
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kazakhstan,KAZ,47.64683076,47.61105634,47.58228775,47.56030118,47.54532614,47.53125628,47.51883721,47.51093805,47.51732711,47.53614002,47.5643183,47.603209,47.64663236,47.68660968,47.72771769,47.77358251,47.8177535,47.87041308,47.9256628,47.97443902,48.01972437,48.05280695,48.08381126,48.12403837,48.16838261
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kenya,KEN,49.55437035,49.57006452,49.58959405,49.61021602,49.63046895,49.65012769,49.6686718,49.68424996,49.69772557,49.70963124,49.71788785,49.72047595,49.71474706,49.70423644,49.69431623,49.68167452,49.66446316,49.6507294,49.63647953,49.61590128,49.60053737,49.59182684,49.5781145,49.56282531,49.5533768
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kyrgyz Republic,KGZ,48.68867253,48.7121245,48.73281723,48.74780196,48.75892921,48.77400215,48.79120697,48.80613557,48.82432954,48.84430863,48.86301194,48.88458204,48.90739681,48.93131154,48.9589409,48.98755972,49.01916828,49.04819451,49.07034678,49.08924151,49.10202869,49.10729767,49.10516545,49.09826724,49.0914722
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cambodia,KHM,49.11020299,49.15082226,49.18950037,49.2252013,49.25863192,49.29374708,49.33088782,49.36726593,49.40232775,49.43870748,49.45956905,49.46472079,49.46936249,49.47411988,49.47778563,49.48022187,49.48351301,49.4854583,49.48835139,49.49067839,49.49031161,49.4943971,49.50302378,49.49669135,49.48154086
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kiribati,KIR,49.20780396,49.17479116,49.12460925,49.07575758,49.07106954,49.06156468,49.02713826,48.99633304,48.98821546,48.97755035,48.96033813,48.92819112,48.88369087,48.83979286,48.79049695,48.73853111,48.69716469,48.66723482,48.63993619,48.61812025,48.60714257,48.6268711,48.67079473,48.7251585,48.79152155
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,St. Kitts and Nevis,KNA,49.59955382,49.65794857,49.69990867,49.69090437,49.64140337,49.58136539,49.52166934,49.45172164,49.37785813,49.30655696,49.2365605,49.1741029,49.13936235,49.1084711,49.0443193,48.96942811,48.88051894,48.79049134,48.69728994,48.60869747,48.51819249,48.42785777,48.34474646,48.28461716,48.23369281
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Korea, Rep.",KOR,50.25321985,50.25262248,50.22667901,50.17708753,50.12689174,50.07414522,50.02204969,49.98007361,49.94591627,49.91108632,49.87561646,49.84825367,49.86825674,49.92574775,49.98088256,50.03387295,50.08010389,50.08336389,50.05065942,50.01843957,49.98561786,49.95989175,49.94190349,49.92193116,49.89904905
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kuwait,KWT,58.3883155,58.54619952,58.69996797,58.85167464,59.00297215,59.15520035,59.04765271,58.60208707,58.10491513,57.66168854,57.26826564,56.92957291,56.89158907,57.0962125,57.2804522,57.83683151,59.84205152,60.83881638,60.80029984,61.51786407,61.65639143,61.25660598,60.95589436,60.81108527,60.70149518
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lao PDR,LAO,50.18662726,50.19287025,50.19657746,50.19613453,50.1927997,50.18450402,50.18910058,50.21302114,50.23925124,50.26565954,50.29276412,50.31868841,50.34514295,50.37385522,50.40239416,50.42803851,50.43761112,50.43201178,50.42653407,50.42309605,50.41845921,50.41158434,50.40466356,50.39764393,50.38982659
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lebanon,LBN,49.45332022,49.47686015,49.49829126,49.51529978,49.53080121,49.54617658,49.55936235,49.56269926,49.56262548,49.57061862,49.58299461,49.59910325,49.6185969,49.64028027,49.66235247,49.68387123,49.59748021,49.3919665,49.16883442,48.92868048,48.67120831,48.53120906,48.51902441,48.4969504,48.46817198
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Liberia,LBR,49.20700581,49.21584651,49.23166651,49.25091461,49.26167836,49.27503974,49.30239493,49.33357875,49.36750222,49.40308735,49.43785841,49.4713375,49.51125886,49.54775679,49.5767749,49.60592097,49.63357991,49.66008988,49.68679058,49.71138532,49.73517082,49.75748803,49.77789185,49.79937507,49.82093346
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Libya,LBY,52.84944755,52.6280411,52.26578664,51.91233609,51.56852122,51.236883,50.92209882,50.77389326,50.78712657,50.80875093,50.82449568,50.83204097,50.87595093,50.90952611,50.88331742,50.84721219,50.79556897,50.74147639,50.71219256,50.70129595,50.67692806,50.64605312,50.62164481,50.60025621,50.57425627
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,St. Lucia,LCA,49.41803154,49.42382445,49.43833518,49.48176441,49.53234343,49.58140271,49.62814265,49.66900943,49.71644838,49.77220957,49.82791948,49.8610583,49.86552035,49.85328435,49.83043833,49.79920368,49.76626068,49.73046204,49.6892692,49.64640673,49.60270574,49.55784799,49.50709988,49.45484468,49.40777028
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Liechtenstein,LIE,49.28407175,49.22788106,49.20901246,49.21793844,49.24411765,49.27405248,49.27896425,49.29060735,49.31721195,49.35736279,49.41275403,49.44608362,49.46530714,49.48911108,49.50279846,49.54172957,49.58104671,49.62376027,49.66085143,49.66082607,49.63879216,49.60006193,49.57606496,49.58934066,49.62358529
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Sri Lanka,LKA,49.83958843,49.77710016,49.68582645,49.56845396,49.45419874,49.34590723,49.24372261,49.13937129,49.02823421,48.91208033,48.78993883,48.67189325,48.56820144,48.49623976,48.44817913,48.40268751,48.36227463,48.32412732,48.28797275,48.25575711,48.22642975,48.19778459,48.17839312,48.16178604,48.13970799
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lesotho,LSO,48.91319664,48.90620075,48.90518652,48.90660184,48.90714139,48.9055014,48.90099443,48.8906201,48.92246649,48.96702479,48.99149848,49.03000721,49.07426447,49.12372403,49.17116656,49.21264465,49.24459092,49.27038555,49.29303511,49.31303989,49.33077294,49.34053503,49.34125343,49.33141067,49.31618775
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lithuania,LTU,46.53211497,46.46779661,46.39500335,46.31971282,46.25018193,46.18600353,46.12129183,46.05646459,45.99204625,45.94777659,45.94059574,45.95741536,45.99509387,46.05066821,46.12004072,46.20162695,46.29722667,46.40029751,46.51307476,46.63370337,46.74784834,46.84659289,46.92862508,46.96847881,46.98214212
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Luxembourg,LUX,49.34167775,49.32809645,49.29813031,49.31387961,49.3731043,49.46044894,49.50909951,49.53810721,49.55967058,49.60287331,49.67702283,49.74283629,49.83674446,49.94506064,50.02725267,50.08101513,50.1489266,50.21059362,50.24325698,50.27594409,50.29751296,50.31765596,50.32949019,50.3303742,50.33187327
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Latvia,LVA,45.67006175,45.64043084,45.61332865,45.585312,45.57097416,45.56527379,45.54950682,45.53296795,45.52811903,45.5306239,45.54140712,45.56156705,45.58521195,45.62361587,45.68168326,45.74386673,45.81529201,45.89870867,45.98247856,46.06639699,46.15056703,46.23542212,46.31993165,46.38470463,46.43011106
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Macao SAR, China",MAC,48.11993852,48.05346658,47.99918929,47.97438093,47.97063128,47.96847301,47.96641146,47.9608977,47.95470863,47.9598819,47.96867893,47.97370163,47.95211234,47.85986142,47.72656031,47.59809788,47.47650913,47.3624834,47.25708532,47.15963815,47.06616259,46.97072084,46.93893304,46.92103204,46.85215771
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,St. Martin (French part),MAF,48.96731846,48.79432624,48.62934808,48.47240051,48.31344546,48.16649846,48.01805572,47.85419653,47.71118182,47.58166624,47.45654821,47.38329036,47.38927098,47.42130683,47.46485592,47.52843084,47.56996002,47.579788,47.57653061,47.55996691,47.54989282,47.54400516,47.5397521,47.53232047,47.51691243
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Morocco,MAR,49.98402775,50.00684483,50.02931722,50.04996107,50.06803148,50.07352382,50.07982413,50.10033399,50.12369915,50.14848747,50.17493591,50.20095417,50.22438055,50.24478018,50.26337045,50.28180857,50.30095623,50.31732464,50.33041016,50.34392725,50.35693186,50.35588545,50.34353488,50.32938917,50.3117174
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Monaco,MCO,48.54911403,48.64007393,48.67155714,48.68770456,48.70961753,48.71882368,48.72903768,48.74574365,48.76347296,48.77910991,48.80404926,48.84863464,48.91442039,48.98270893,49.03316867,49.06120188,49.08324266,49.05991206,49.02008422,48.9940317,48.99551763,49.00872109,49.0159734,49.0060051,48.99302973
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Moldova,MDA,47.33502202,47.35454384,47.36342165,47.36893878,47.37363281,47.36662635,47.37003365,47.39524311,47.42201322,47.4518036,47.47912517,47.50129548,47.51766697,47.52752274,47.53416478,47.544645,47.55530929,47.55979849,47.56060828,47.55163938,47.53372819,47.50559752,47.46804351,47.61059897,47.69519528
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Madagascar,MDG,50.24405811,50.24363252,50.24569314,50.24748526,50.24751316,50.24402801,50.23879359,50.23425219,50.22736811,50.22036845,50.21475968,50.20903497,50.20220011,50.19445935,50.18459541,50.17426925,50.16705624,50.16043681,50.15331182,50.14623299,50.1379102,50.12696289,50.11450027,50.10253037,50.09178344
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Maldives,MDV,51.6498808,51.64969364,51.63648007,51.62821092,51.63007274,51.63718205,51.64583184,52.00269719,52.77430904,53.59189986,54.36071247,55.0837309,55.76460848,56.41161277,57.02421593,57.38425582,57.50765642,57.61537649,57.70613112,57.7764937,57.80364236,57.75661985,57.67225294,57.52624636,57.30882249
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mexico,MEX,48.96286088,48.94081481,48.93192655,48.93755994,48.94358834,48.94977347,48.95497259,48.95805927,48.95924141,48.95796889,48.95450339,48.95159662,48.95474159,48.96001897,48.96199942,48.96208809,48.95948933,48.95491307,48.94739433,48.93417841,48.91639755,48.87958808,48.81896502,48.77877794,48.76500681
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Marshall Islands,MHL,51.30029349,51.29462968,51.28553838,51.27899295,51.27080542,51.25746303,51.24132727,51.2267562,51.2195122,51.20224469,51.18392327,51.21124757,51.24124521,51.23460338,51.2307213,51.21680319,51.20218579,51.18665811,51.17087333,51.16223445,51.14022536,51.1137217,51.08917955,51.05487262,51.0167635
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,North Macedonia,MKD,50.4908147,50.33352372,50.17804755,50.08778358,50.06875434,50.0540977,50.03901548,50.02236825,50.00715147,49.99537442,49.98337151,49.97019813,49.957775,49.94789181,49.9378037,49.92630472,49.91679167,49.90707024,49.89836547,49.89100971,49.88406831,49.87437662,49.85889043,49.84359469,49.83283621
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mali,MLI,50.43109398,50.45635767,50.47703591,50.49071922,50.49866859,50.50324283,50.50580966,50.50758096,50.50941303,50.51188854,50.51453721,50.51631506,50.51724673,50.51891689,50.51866225,50.51635688,50.51403952,50.51259602,50.51160315,50.50830985,50.50501706,50.50093667,50.49419121,50.48696998,50.48048618
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Malta,MLT,49.67031413,49.68062082,49.67487337,49.67099004,49.66025179,49.64481235,49.62482448,49.59934046,49.58102897,49.58260865,49.60722022,49.6710487,49.7741819,49.91428379,50.08810925,50.28928795,50.51896824,50.77303001,51.03452159,51.2929579,51.55201684,51.79137609,52.01272715,52.13000154,52.1462853
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Myanmar,MMR,50.01412915,49.99761739,49.98168634,49.96658149,49.95189166,49.93796163,49.9259447,49.9167219,49.91055646,49.92196306,49.93236268,49.92477778,49.91578391,49.90488406,49.89428478,49.88311895,49.87074904,49.85800893,49.84520163,49.83154791,49.81750639,49.80266438,49.78368932,49.76543258,49.75075945
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Montenegro,MNE,48.59552202,48.55461028,48.51555527,48.47369444,48.44145103,48.45346971,48.49978274,48.54705989,48.59595235,48.6384065,48.67518402,48.70405233,48.71586671,48.73477808,48.75525676,48.7594081,48.76349836,48.76923368,48.76810059,48.76673714,48.76030305,48.74270326,48.71890026,48.69363177,48.6832087
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mongolia,MNG,49.6121455,49.62759779,49.67275351,49.70502486,49.72330112,49.73449033,49.74392939,49.75434306,49.76848325,49.78619052,49.80543463,49.81916878,49.80243723,49.76501863,49.73641136,49.71743024,49.70542194,49.69815699,49.69583628,49.69461038,49.6868919,49.66386236,49.62873927,49.59404019,49.56104407
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Northern Mariana Islands,MNP,47.75240369,47.56404192,47.82143711,48.18563542,48.55473514,48.92903836,49.32126041,49.74114441,50.20142744,50.72294776,51.31449804,51.96627655,52.39908606,52.565939,52.73009724,52.89069732,53.04383274,53.19461013,53.34029845,53.48083651,53.61426451,53.70560832,53.75194519,53.75269924,53.71314965
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mozambique,MOZ,48.74655184,48.71494253,48.69294379,48.6810232,48.67515891,48.67650523,48.67938007,48.68129226,48.68724734,48.68828103,48.68575804,48.69704382,48.72615262,48.76639457,48.81264575,48.86092257,48.90737506,48.96367204,49.01194602,49.03121879,49.03911249,49.05119561,49.06066239,49.06415981,49.07365926
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mauritania,MRT,50.08248076,50.08918357,50.03684161,49.93512783,49.84282041,49.75420615,49.67082288,49.59504795,49.52827137,49.40528915,49.2300645,49.06963407,48.92676426,48.80181116,48.75877614,48.78860546,48.81851493,48.84784631,48.87679492,48.90524109,48.93257044,48.95781002,48.98380793,49.01097708,49.03807103
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mauritius,MUS,50.00244729,49.95320454,49.91585542,49.89229901,49.8685545,49.84460724,49.81892583,49.79106824,49.75916586,49.72320731,49.68668644,49.65324585,49.62448571,49.59980446,49.57538249,49.54891716,49.52236897,49.49513529,49.46703626,49.44012611,49.41251073,49.38027227,49.34472233,49.30867916,49.27311913
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Malawi,MWI,48.75035949,48.66338652,48.59420333,48.53234308,48.47478463,48.42156473,48.37269733,48.33003984,48.30195155,48.31347566,48.35335954,48.3922801,48.42719846,48.45730936,48.4832954,48.50348034,48.5223044,48.54223554,48.56048266,48.57759601,48.59372576,48.6077739,48.62204849,48.63860238,48.65573836
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Malaysia,MYS,50.63440336,50.69201552,50.8070781,50.91582481,51.01629137,51.10948865,51.19593253,51.27608446,51.35288214,51.42628245,51.49578959,51.50933408,51.47015332,51.43251842,51.39741562,51.36420061,51.33089486,51.29622084,51.26129737,51.22746126,51.19501817,51.16317946,51.1306202,51.09823818,51.06677713
